kode_kecamatan,kode_provinsi,kode_kabupaten,nama_kecamatan
"24","18","06","Limau"
"25","18","06","Bandar Negeri Semuong"
"26","18","06","Air Naningan"
"27","18","06","Bulok"
"28","18","06","Kelumbayan Barat"
"01","18","07","Sukadana"
"02","18","07","Labuhan Maringgai"
"03","18","07","Jabung"
"04","18","07","Pekalongan"
"05","18","07","Sekampung"
"06","18","07","Batanghari"
"07","18","07","Way Jepara"
"08","18","07","Purbolinggo"
"09","18","07","Raman Utara"
"10","18","07","Metro Kibang"
"11","18","07","Marga Tiga"
"12","18","07","Sekampung Udik"
"13","18","07","Batanghari Nuban"
"14","18","07","Bumi Agung"
"15","18","07","Bandar Sribhawono"
"16","18","07","Mataram Baru"
"17","18","07","Melinting"
"18","18","07","Gunung Pelindung"
"19","18","07","Pasir Sakti"
"20","18","07","Waway Karya"
"21","18","07","Labuhan Ratu"
"22","18","07","Braja Selebah"
"23","18","07","Way Bungur"
"24","18","07","Marga Sekampung"
"01","18","08","Blambangan Umpu"
"02","18","08","Kasui"
"03","18","08","Banjit"
"04","18","08","Baradatu"
"05","18","08","Bahuga"
"06","18","08","Pakuan Ratu"
"07","18","08","Negeri Agung"
"08","18","08","Way Tuba"
"09","18","08","Rebang Tangkas"
"10","18","08","Gunung Labuhan"
"11","18","08","Negara Batin"
"12","18","08","Negeri Besar"
"13","18","08","Buay Bahuga"
"14","18","08","Bumi Agung"
"15","18","08","Umpu Semenguk"
"01","18","09","Gedong Tataan"
"02","18","09","Negeri Katon"
"03","18","09","Tegineneng"
"04","18","09","Way Lima"
"05","18","09","Padang Cermin"
"06","18","09","Punduh Pidada"
"07","18","09","Kedondong"
"08","18","09","Marga Punduh"
"09","18","09","Way Khilau"
"10","18","09","Teluk Pandan"
"11","18","09","Way Ratai"
"01","18","10","Pringsewu"
"02","18","10","Gading Rejo"
"03","18","10","Ambarawa"
"04","18","10","Pardasuka"
"05","18","10","Pagelaran"
"06","18","10","Banyumas"
"07","18","10","Adiluwih"
"08","18","10","Sukoharjo"
"09","18","10","Pagelaran Utara"
"01","18","11","Mesuji"
"02","18","11","Mesuji Timur"
"03","18","11","Rawa Jitu Utara"
"04","18","11","Way Serdang"
"05","18","11","Simpang Pematang"
"06","18","11","Panca Jaya"
"07","18","11","Tanjung Raya"
"01","18","12","Tulang Bawang Tengah"
"02","18","12","Tumijajar"
"03","18","12","Tulang Bawang Udik"
"04","18","12","Gunung Terang"
"05","18","12","Gunung Agung"
"06","18","12","Way Kenanga"
"07","18","12","Lambu Kibang"
"08","18","12","Pagar Dewa"
"09","18","12","Batu Putih"
"01","18","13","Pesisir Tengah"
"02","18","13","Pesisir Selatan"
"03","18","13","Lemong"
"04","18","13","Pesisir Utara"
"05","18","13","Karya Penggawa"
"06","18","13","Pulau Pisang"
"07","18","13","Way Krui"
"08","18","13","Krui Selatan"
"09","18","13","Ngambur"
"10","18","13","Ngaras"
"11","18","13","Bangkunat"
"01","18","71","Kedaton"
"02","18","71","Sukarame"
"03","18","71","Tanjungkarang Barat"
"04","18","71","Panjang"
"05","18","71","Tanjungkarang Timur"
"06","18","71","Tanjungkarang Pusat"
"07","18","71","Telukbetung Selatan"
"08","18","71","Telukbetung Barat"
"09","18","71","Telukbetung Utara"
"10","18","71","Rajabasa"
"11","18","71","Tanjung Senang"
"12","18","71","Sukabumi"
"13","18","71","Kemiling"
"14","18","71","Labuhan Ratu"
"15","18","71","Way Halim"
"16","18","71","Langkapura"
"17","18","71","Enggal"
"18","18","71","Kedamaian"
"19","18","71","Telukbetung Timur"
"20","18","71","Bumi Waras"
"01","18","72","Metro Pusat"
"02","18","72","Metro Utara"
"03","18","72","Metro Barat"
"04","18","72","Metro Timur"
"05","18","72","Metro Selatan"
"01","19","01","Sungailiat"
"02","19","01","Belinyu"
"03","19","01","Merawang"
"04","19","01","Mendo Barat"
"05","19","01","Pemali"
"06","19","01","Bakam"
"07","19","01","Riau Silip"
"08","19","01","Puding Besar"
"01","19","02","Tanjungpandan"
"02","19","02","Membalong"
"03","19","02","Selat Nasik"
"04","19","02","Sijuk"
"05","19","02","Badau"
"01","19","03","Toboali"
"02","19","03","Lepar"
"03","19","03","Airgegas"
"04","19","03","Simpang Rimba"
"05","19","03","Payung"
"06","19","03","Tukak Sadai"
"07","19","03","Pulau Besar"
"08","19","03","Kepulauan Pongok"
"01","19","04","Koba"
"02","19","04","Pangkalan Baru"
"03","19","04","Sungai Selan"
"04","19","04","Simpang Katis"
"05","19","04","Namang"
"06","19","04","Lubuk Besar"
"01","19","05","Mentok"
"02","19","05","Simpang Teritip"
"03","19","05","Jebus"
"04","19","05","Kelapa"
"05","19","05","Tempilang"
"06","19","05","Parittiga"
"01","19","06","Manggar"
"02","19","06","Gantung"
"03","19","06","Dendang"
"04","19","06","Kelapa Kampit"
"05","19","06","Damar"
"06","19","06","Simpang Renggiang"
"07","19","06","Simpang Pesak"
"01","19","71","Bukit Intan"
"02","19","71","Taman Sari"
"03","19","71","Pangkal Balam"
"04","19","71","Rangkui"
"05","19","71","Gerunggang"
"06","19","71","Gabek"
"07","19","71","Girimaya"
"04","21","01","Gunung Kijang"
"06","21","01","Bintan Timur"
"07","21","01","Bintan Utara"
"08","21","01","Teluk Bintan"
"09","21","01","Tambelan"
"10","21","01","Teluk Sebong"
"12","21","01","Toapaya"
"13","21","01","Mantang"
"14","21","01","Bintan Pesisir"
"15","21","01","Seri Kuala Lobam"
"01","21","02","Moro"
"02","21","02","Kundur"
"03","21","02","Karimun"
"04","21","02","Meral"
"05","21","02","Tebing"
"06","21","02","Buru"
"07","21","02","Kundur Utara"
"08","21","02","Kundur Barat"
"09","21","02","Durai"
"10","21","02","Meral Barat"
"11","21","02","Ungar"
"12","21","02","Belat"
"13","21","02","Selat Gelam"
"14","21","02","Sugie Besar"
"04","21","03","Midai"
"05","21","03","Bunguran Barat"
"06","21","03","Serasan"
"07","21","03","Bunguran Timur"
"08","21","03","Bunguran Utara"
"09","21","03","Subi"
"10","21","03","Pulau Laut"
"11","21","03","Pulau Tiga"
"15","21","03","Bunguran Timur Laut"
"16","21","03","Bunguran Tengah"
"18","21","03","Bunguran Selatan"
"19","21","03","Serasan Timur"
"20","21","03","Bunguran Batubi"
"21","21","03","Pulau Tiga Barat"
"22","21","03","Suak Midai"
"23","21","03","Pulau Panjang"
"24","21","03","Pulau Seluan"
"01","21","04","Singkep"
"02","21","04","Lingga"
"03","21","04","Senayang"
"04","21","04","Singkep Barat"
"05","21","04","Lingga Utara"
"06","21","04","Singkep Pesisir"
"07","21","04","Lingga Timur"
"08","21","04","Selayar"
"09","21","04","Singkep Selatan"
"10","21","04","Kepulauan Posek"
"11","21","04","Katang Bidare"
"12","21","04","Temiang Pesisir"
"13","21","04","Bakung Serumpun"
"01","21","05","Siantan"
"02","21","05","Palmatak"
"03","21","05","Siantan Timur"
"04","21","05","Siantan Selatan"
"05","21","05","Jemaja Timur"
"06","21","05","Jemaja"
"07","21","05","Siantan Tengah"
"08","21","05","Siantan Utara"
"09","21","05","Jemaja Barat"
"10","21","05","Kute Siantan"
"01","21","71","Belakang Padang"
"02","21","71","Batu Ampar"
"03","21","71","Sekupang"
"04","21","71","Nongsa"
"05","21","71","Bulang"
"06","21","71","Lubuk Baja"
"07","21","71","Sei Beduk"
"08","21","71","Galang"
"09","21","71","Bengkong"
"10","21","71","Batam Kota"
"11","21","71","Sagulung"
"12","21","71","Batu Aji"
"01","21","72","Tanjung Pinang Barat"
"02","21","72","Tanjung Pinang Timur"
"03","21","72","Tanjung Pinang Kota"
"04","21","72","Bukit Bestari"
"01","31","01","Kepulauan Seribu Utara"
"02","31","01","Kepulauan Seribu Selatan"
"01","31","71","Gambir"
"02","31","71","Sawah Besar"
"03","31","71","Kemayoran"
"04","31","71","Senen"
"05","31","71","Cempaka Putih"
"06","31","71","Menteng"
"07","31","71","Tanah Abang"
"08","31","71","Johar Baru"
"01","31","72","Penjaringan"
"02","31","72","Tanjung Priok"
"03","31","72","Koja"
"04","31","72","Cilincing"
"05","31","72","Pademangan"
"06","31","72","Kelapa Gading"
"01","31","73","Cengkareng"
"02","31","73","Grogol Petamburan"
"03","31","73","Taman Sari"
"04","31","73","Tambora"
"05","31","73","Kebon Jeruk"
"06","31","73","Kalideres"
"07","31","73","Pal Merah"
"08","31","73","Kembangan"
"01","31","74","Tebet"
"02","31","74","Setiabudi"
"03","31","74","Mampang Prapatan"
"04","31","74","Pasar Minggu"
"05","31","74","Kebayoran Lama"
"06","31","74","Cilandak"
"07","31","74","Kebayoran Baru"
"08","31","74","Pancoran"
"09","31","74","Jagakarsa"
"10","31","74","Pesanggrahan"
"01","31","75","Matraman"
"02","31","75","Pulogadung"
"03","31","75","Jatinegara"
"04","31","75","Kramatjati"
"05","31","75","Pasar Rebo"
"06","31","75","Cakung"
"07","31","75","Duren Sawit"
"08","31","75","Makasar"
"09","31","75","Ciracas"
"10","31","75","Cipayung"
"01","32","01","Cibinong"
"02","32","01","Gunungputri"
"03","32","01","Citeureup"
"04","32","01","Sukaraja"
"05","32","01","Babakan Madang"
"06","32","01","Jonggol"
"07","32","01","Cileungsi"
"08","32","01","Cariu"
"09","32","01","Sukamakmur"
"10","32","01","Parung"
"11","32","01","Gunungsindur"
"12","32","01","Kemang"
"13","32","01","Bojonggede"
"14","32","01","Leuwiliang"
"15","32","01","Ciampea"
"16","32","01","Cibungbulang"
"17","32","01","Pamijahan"
"18","32","01","Rumpin"
"19","32","01","Jasinga"
"20","32","01","Parungpanjang"
"21","32","01","Nanggung"
"22","32","01","Cigudeg"
"23","32","01","Tenjo"
"24","32","01","Ciawi"
"25","32","01","Cisarua"
"26","32","01","Megamendung"
"27","32","01","Caringin"
"28","32","01","Cijeruk"
"29","32","01","Ciomas"
"30","32","01","Dramaga"
"31","32","01","Tamansari"
"32","32","01","Klapanunggal"
"33","32","01","Ciseeng"
"34","32","01","Rancabungur"
"35","32","01","Sukajaya"
"36","32","01","Tanjungsari"
"37","32","01","Tajurhalang"
"38","32","01","Cigombong"
"39","32","01","Leuwisadeng"
"40","32","01","Tenjolaya"
"01","32","02","Palabuhanratu"
"02","32","02","Simpenan"
"03","32","02","Cikakak"
"04","32","02","Bantargadung"
"05","32","02","Cisolok"
"06","32","02","Cikidang"
"07","32","02","Lengkong"
"08","32","02","Jampangtengah"
"09","32","02","Warungkiara"
"10","32","02","Cikembar"
"11","32","02","Cibadak"
"12","32","02","Nagrak"
"13","32","02","Parungkuda"
"14","32","02","Bojonggenteng"
"15","32","02","Parakansalak"
"16","32","02","Cicurug"
"17","32","02","Cidahu"
"18","32","02","Kalapanunggal"
"19","32","02","Kabandungan"
"20","32","02","Waluran"
"21","32","02","Jampangkulon"
"22","32","02","Ciemas"
"23","32","02","Kalibunder"
"24","32","02","Surade"
"25","32","02","Cibitung"
"26","32","02","Ciracap"
"27","32","02","Gunungguruh"
"28","32","02","Cicantayan"
"29","32","02","Cisaat"
"30","32","02","Kadudampit"
"31","32","02","Caringin"
"32","32","02","Sukabumi"
"33","32","02","Sukaraja"
"34","32","02","Kebonpedes"
"35","32","02","Cireunghas"
"36","32","02","Sukalarang"
"37","32","02","Pabuaran"
"38","32","02","Purabaya"
"39","32","02","Nyalindung"
"40","32","02","Gegerbitung"
"41","32","02","Sagaranten"
"42","32","02","Curugkembar"
"43","32","02","Cidolog"
"44","32","02","Cidadap"
"45","32","02","Tegalbuleud"
"46","32","02","Cimanggu"
"47","32","02","Ciambar"
"01","32","03","Cianjur"
"02","32","03","Warungkondang"
"03","32","03","Cibeber"
"04","32","03","Cilaku"
"05","32","03","Ciranjang"
"06","32","03","Bonjogpicung"
"07","32","03","Karangtengah"
"08","32","03","Mande"
"09","32","03","Sukaluyu"
"10","32","03","Pacet"
"11","32","03","Cugenang"
"12","32","03","Cikalongkulon"
"13","32","03","Sukaresmi"
"14","32","03","Sukanagara"
"15","32","03","Campaka"
"16","32","03","Takokak"
"17","32","03","Kadupandak"
"18","32","03","Pagelarang"
"19","32","03","Tanggeung"
"20","32","03","Cubinong"
"21","32","03","Sindangbarang"
"22","32","03","Agrabinta"
"23","32","03","Cidaun"
"24","32","03","Naringgul"
"25","32","03","Campakamulya"
"26","32","03","Cikadu"
"27","32","03","Gekbrong"
"28","32","03","Cipanas"
"29","32","03","Cijati"
"30","32","03","Leles"
"31","32","03","Haurwangi"
"32","32","03","Pasirkuda"
"05","32","04","Cileunyi"
"06","32","04","Cimenyan"
"07","32","04","Cilengkrang"
"08","32","04","Bojongsoang"
"09","32","04","Margahayu"
"10","32","04","Margaasih"
"11","32","04","Katapang"
"12","32","04","Dayeuhkolot"
"13","32","04","Banjaran"
"14","32","04","Pameungpeuk"
"15","32","04","Pangalengan"
"16","32","04","Arjasari"
"17","32","04","Cimaung"
"25","32","04","Cicalengka"
"26","32","04","Nagreg"
"27","32","04","Cikancung"
"28","32","04","Rancaekek"
"29","32","04","Ciparay"
"30","32","04","Pacet"
"31","32","04","Kertasari"
"32","32","04","Baleendah"
"33","32","04","Majalaya"
"34","32","04","Solokanjeruk"
"35","32","04","Paseh"
"36","32","04","Ibun"
"37","32","04","Soreang"
"38","32","04","Pasirjambu"
"39","32","04","Ciwidey"
"40","32","04","Rancabali"
"44","32","04","Cangkuang"
"46","32","04","Kutawaringin"
"01","32","05","Garut Kota"
"02","32","05","Karangpawitan"
"03","32","05","Wanaraja"
"04","32","05","Tarogong Kaler"
"05","32","05","Tarogong Kidul"
"06","32","05","Banyuresmi"
"07","32","05","Samarang"
"08","32","05","Pasirwangi"
"09","32","05","Leles"
"10","32","05","Kadungora"
"11","32","05","Leuwigoong"
"12","32","05","Cibatu"
"13","32","05","Kersamanah"
"14","32","05","Malangbong"
"15","32","05","Sukawening"
"16","32","05","Karangtengah"
"17","32","05","Bayongbong"
"18","32","05","Cigedug"
"19","32","05","Cilawu"
"20","32","05","Cisurupan"
"21","32","05","Sukaresmi"
"22","32","05","Cikajang"
"23","32","05","Banjarwangi"
"24","32","05","Singajaya"
"25","32","05","Cihurip"
"26","32","05","Peundeuy"
"27","32","05","Pameungpeuk"
"28","32","05","Cisompet"
"29","32","05","Cibalong"
"30","32","05","Cikelet"
"31","32","05","Bungbulang"
"32","32","05","Mekarmukti"
"33","32","05","Pakenjeng"
"34","32","05","Pamulihan"
"35","32","05","Cisewu"
"36","32","05","Caringin"
"37","32","05","Talegong"
"38","32","05","Limbangan"
"39","32","05","Selaawi"
"40","32","05","Cibiuk"
"41","32","05","Pangatikan"
"42","32","05","Sucinaraja"
"01","32","06","Cipatujah"
"02","32","06","Karangnunggal"
"03","32","06","Cikalong"
"04","32","06","Pancatengah"
"05","32","06","Cikatomas"
"06","32","06","Cibalong"
"07","32","06","Parungponteng"
"08","32","06","Bantarkalong"
"09","32","06","Bojongasih"
"10","32","06","Culamega"
"11","32","06","Bojonggambir"
"12","32","06","Sodonghilir"
"13","32","06","Taraju"
"14","32","06","Salawu"
"15","32","06","Puspahiang"
"16","32","06","Tanjungjaya"
"17","32","06","Sukaraja"
"18","32","06","Salopa"
"19","32","06","Jatiwaras"
"20","32","06","Cineam"
"21","32","06","Karang Jaya"
"22","32","06","Manonjaya"
"23","32","06","Gunung Tanjung"
"24","32","06","Singaparna"
"25","32","06","Mangunreja"
"26","32","06","Sukarame"
"27","32","06","Cigalontang"
"28","32","06","Leuwisari"
"29","32","06","Padakembang"
"30","32","06","Sariwangi"
"31","32","06","Sukaratu"
"32","32","06","Cisayong"
"33","32","06","Sukahening"
"34","32","06","Rajapolah"
"35","32","06","Jamanis"
"36","32","06","Ciawi"
"37","32","06","Kadipaten"
"38","32","06","Pagerageung"
"39","32","06","Sukaresik"
"01","32","07","Ciamis"
"02","32","07","Cikoneng"
"03","32","07","Cijeungjing"
"04","32","07","Sadananya"
"05","32","07","Cidolog"
"06","32","07","Cihaurbeuti"
"07","32","07","Panumbangan"
"08","32","07","Panjalu"
"09","32","07","Kawali"
"10","32","07","Panawangan"
"11","32","07","Cipaku"
"12","32","07","Jatinagara"
"13","32","07","Rajadesa"
"14","32","07","Sukadana"
"15","32","07","Rancah"
"16","32","07","Tambaksari"
"17","32","07","Lakbok"
"18","32","07","Banjarsari"
"19","32","07","Pamarican"
"29","32","07","Cimaragas"
"30","32","07","Cisaga"
"31","32","07","Sindangkasih"
"32","32","07","Baregbeg"
"33","32","07","Sukamantri"
"34","32","07","Lumbung"
"35","32","07","Purwadadi"
"37","32","07","Banjaranyar"
"01","32","08","Kadugede"
"02","32","08","Ciniru"
"03","32","08","Subang"
"04","32","08","Ciwaru"
"05","32","08","Cibingbin"
"06","32","08","Luragung"
"07","32","08","Lebakwangi"
"08","32","08","Garawangi"
"09","32","08","Kuningan"
"10","32","08","Ciawigebang"
"11","32","08","Cidahu"
"12","32","08","Jalaksana"
"13","32","08","Cilimus"
"14","32","08","Mandirancan"
"15","32","08","Selajambe"
"16","32","08","Kramatmulya"
"17","32","08","Darma"
"18","32","08","Cigugur"
"19","32","08","Pasawahan"
"20","32","08","Nusaherang"
"21","32","08","Cipicung"
"22","32","08","Pancalang"
"23","32","08","Japara"
"24","32","08","Cimahi"
"25","32","08","Cilebak"
"26","32","08","Hantara"
"27","32","08","Kalimanggis"
"28","32","08","Cibeureum"
"29","32","08","Karangkancana"
"30","32","08","Maleber"
"31","32","08","Sindangagung"
"32","32","08","Cigandamekar"
"01","32","09","Waled"
"02","32","09","Ciledug"
"03","32","09","Losari"
"04","32","09","Pabedilan"
"05","32","09","Babakan"
"06","32","09","Karangsembung"
"07","32","09","Lemahabang"
"08","32","09","Susukan Lebak"
"09","32","09","Sedong"
"10","32","09","Astanajapura"
"11","32","09","Pangenan"
"12","32","09","Mundu"
"13","32","09","Beber"
"14","32","09","Talun"
"15","32","09","Sumber"
"16","32","09","Dukupuntang"
"17","32","09","Palimanan"
"18","32","09","Plumbon"
"19","32","09","Weru"
"20","32","09","Kedawung"
"21","32","09","Gunung Jati"
"22","32","09","Kepetakan"
"23","32","09","Klangenan"
"24","32","09","Arjawinangun"
"25","32","09","Panguragan"
"26","32","09","Ciwaringin"
"27","32","09","Susukan"
"28","32","09","Gegesik"
"29","32","09","Kaliwedi"
"30","32","09","Gebang"
"31","32","09","Depok"
"32","32","09","Pasaleman"
"33","32","09","Pabuaran"
"34","32","09","Karangwareng"
"35","32","09","Tengah Tani"
"36","32","09","Plered"
"37","32","09","Gempol"
"38","32","09","Greged"
"39","32","09","Suranenggala"
"40","32","09","Jamblang"
"01","32","10","Lemahsugih"
"02","32","10","Bantarujeg"
"03","32","10","Cikijing"
"04","32","10","Talaga"
"05","32","10","Argapura"
"06","32","10","Maja"
"07","32","10","Majalengka"
"08","32","10","Sukahaji"
"09","32","10","Rajagaluh"
"10","32","10","Leuwimunding"
"11","32","10","Jatiwangi"
"12","32","10","Dawuan"
"13","32","10","Kadipaten"
"14","32","10","Kertajati"
"15","32","10","Jatitujuh"
"16","32","10","Ligung"
"17","32","10","Sumberjaya"
"18","32","10","Panyingkiran"
"19","32","10","Palasah"
"20","32","10","Cigasong"
"21","32","10","Sindangwangi"
"22","32","10","Banjaran"
"23","32","10","Cingambul"
"24","32","10","Kasokandel"
"25","32","10","Sindang"
"26","32","10","Malausma"
"01","32","11","Wado"
"02","32","11","Jatinunggal"
"03","32","11","Darmaraja"
"04","32","11","Cibugel"
"05","32","11","Cisitu"
"06","32","11","Situraja"
"07","32","11","Conggeang"
"08","32","11","Paseh"
"09","32","11","Surian"
"10","32","11","Buahdua"
"11","32","11","Tanjungsari"
"12","32","11","Sukasari"
"13","32","11","Pamulihan"
"14","32","11","Cimanggung"
"15","32","11","Jatinangor"
"16","32","11","Rancakalong"
"17","32","11","Sumedang Selatan"
"18","32","11","Sumedang Utara"
"19","32","11","Ganeas"
"20","32","11","Tanjungkerta"
"21","32","11","Tanjungmedar"
"22","32","11","Cimalaka"
"23","32","11","Cisarua"
"24","32","11","Tomo"
"25","32","11","Ujungjaya"
"26","32","11","Jatigede"
"01","32","12","Haurgeulis"
"02","32","12","Kroya"
"03","32","12","Gabuswetan"
"04","32","12","Cikedung"
"05","32","12","Lelea"
"06","32","12","Bangodua"
"07","32","12","Widasari"
"08","32","12","Kertasemaya"
"09","32","12","Krangkeng"
"10","32","12","Karangampel"
"11","32","12","Juntinyuat"
"12","32","12","Sliyeg"
"13","32","12","Jatibarang"
"14","32","12","Balongan"
"15","32","12","Indramayu"
"16","32","12","Sindang"
"17","32","12","Cantigi"
"18","32","12","Lohbener"
"19","32","12","Arahan"
"20","32","12","Losarang"
"21","32","12","Kandanghaur"
"22","32","12","Bongas"
"23","32","12","Anjatan"
"24","32","12","Sukra"
"25","32","12","Gantar"
"26","32","12","Terisi"
"27","32","12","Sukagumiwang"
"28","32","12","Kedokan Bunder"
"29","32","12","Pasekan"
"30","32","12","Tukdana"
"31","32","12","Patrol"
"01","32","13","Sagalaherang"
"02","32","13","Cisalak"
"03","32","13","Subang"
"04","32","13","Kalijati"
"05","32","13","Pabuaran"
"06","32","13","Purwadadi"
"07","32","13","Pagaden"
"08","32","13","Binong"
"09","32","13","Ciasem"
"10","32","13","Pusakanagara"
"11","32","13","Pamanukan"
"12","32","13","Jalancagak"
"13","32","13","Blanakan"
"14","32","13","Tanjungsiang"
"15","32","13","Compreng"
"16","32","13","Patokbeusi"
"17","32","13","Cibogo"
"18","32","13","Cipunagara"
"19","32","13","Cijambe"
"20","32","13","Cipeundeuy"
"21","32","13","Legonkulon"
"22","32","13","Cikaum"
"23","32","13","Serangpanjang"
"24","32","13","Sukasari"
"25","32","13","Tambakdahan"
"26","32","13","Kasomalang"
"27","32","13","Dawuan"
"28","32","13","Pagaden Barat"
"29","32","13","Ciater"
"30","32","13","Pusakajaya"
"01","32","14","Purwakarta"
"02","32","14","Campaka"
"03","32","14","Jatiluhur"
"04","32","14","Plered"
"05","32","14","Sukatani"
"06","32","14","Darangdan"
"07","32","14","Maniis"
"08","32","14","Tegalwaru"
"09","32","14","Wanayasa"
"10","32","14","Pasawahan"
"11","32","14","Bojong"
"12","32","14","Babakancikao"
"13","32","14","Bungursari"
"14","32","14","Cibatu"
"15","32","14","Sukasari"
"16","32","14","Pondoksalam"
"17","32","14","Kiarapedes"
"01","32","15","Karawang Barat"
"02","32","15","Pangkalan"
"03","32","15","Telukjambe Timur"
"04","32","15","Ciampel"
"05","32","15","Klari"
"06","32","15","Rengasdengklok"
"07","32","15","Kutawaluya"
"08","32","15","Batujaya"
"09","32","15","Tirtajaya"
"10","32","15","Pedes"
"11","32","15","Cibuaya"
"12","32","15","Pakisjaya"
"13","32","15","Cikampek"
"14","32","15","Jatisari"
"15","32","15","Cilamaya Wetan"
"16","32","15","Tirtamulya"
"17","32","15","Telagasari"
"18","32","15","Rawamerta"
"19","32","15","Lemahabang"
"20","32","15","Tempuran"
"21","32","15","Majalaya"
"22","32","15","Jayakerta"
"23","32","15","Cilamaya Kulon"
"24","32","15","Banyusari"
"25","32","15","Kota Baru"
"26","32","15","Karawang Timur"
"27","32","15","Telukjambe Barat"
"28","32","15","Tegalwaru"
"29","32","15","Purwasari"
"30","32","15","Cilebar"
"01","32","16","Tarumajaya"
"02","32","16","Babelan"
"03","32","16","Sukawangi"
"04","32","16","Tambelang"
"05","32","16","Tambun Utara"
"06","32","16","Tambun Selatan"
"07","32","16","Cibitung"
"08","32","16","Cikarang Barat"
"09","32","16","Cikarang Utara"
"10","32","16","Karang Bahagia"
"11","32","16","Cikarang Timur"
"12","32","16","Kedung Waringin"
"13","32","16","Pebayuran"
"14","32","16","Sukakarya"
"15","32","16","Sukatani"
"16","32","16","Cabangbungin"
"17","32","16","Muaragembong"
"18","32","16","Setu"
"19","32","16","Cikarang Selatan"
"20","32","16","Cikarang Pusat"
"21","32","16","Serang Baru"
"22","32","16","Cibarusah"
"23","32","16","Bojongmangu"
"01","32","17","Lembang"
"02","32","17","Parongpong"
"03","32","17","Cisarua"
"04","32","17","Cikalongwetan"
"05","32","17","Cipeundeuy"
"06","32","17","Ngamprah"
"07","32","17","Cipatat"
"08","32","17","Padalarang"
"09","32","17","Batujajar"
"10","32","17","Cihampelas"
"11","32","17","Cililin"
"12","32","17","Cipongkor"
"13","32","17","Rongga"
"14","32","17","Sindangkerta"
"15","32","17","Gununghalu"
"16","32","17","Saguling"
"01","32","18","Parigi"
"02","32","18","Cijulang"
"03","32","18","Cimerak"
"04","32","18","Cigugur"
"05","32","18","Langkaplancar"
"06","32","18","Mangunjaya"
"07","32","18","Padaherang"
"08","32","18","Kalipucang"
"09","32","18","Pangandaran"
"10","32","18","Sidamulih"
"01","32","71","Bogor Selatan"
"02","32","71","Bogor Timur"
"03","32","71","Bogor Tengah"
"04","32","71","Bogor Barat"
"05","32","71","Bogor Utara"
"06","32","71","Tanah Sareal"
"01","32","72","Gunung Puyuh"
"02","32","72","Cikole"
"03","32","72","Citamiang"
"04","32","72","Warudoyong"
"05","32","72","Baros"
"06","32","72","Lembursitu"
"07","32","72","Cibeureum"
"01","32","73","Sukasari"
"02","32","73","Coblong"
"03","32","73","Babakan Ciparay"
"04","32","73","Bojongloa Kaler"
"05","32","73","Andir"
"06","32","73","Cicendo"
"07","32","73","Sukajadi"
"08","32","73","Cidadap"
"09","32","73","Bandung Wetan"
"10","32","73","Astanaanyar"
"11","32","73","Regol"
"12","32","73","Batununggal"
"13","32","73","Lengkong"
"14","32","73","Cibeunying Kidul"
"15","32","73","Bandung Kulon"
"16","32","73","Kiaracondong"
"17","32","73","Bojongloa Kidul"
"18","32","73","Cibeunying Kaler"
"19","32","73","Sumur Bandung"
"20","32","73","Antapani"
"21","32","73","Bandung Kidul"
"22","32","73","Buahbatu"
"23","32","73","Rancasari"
"24","32","73","Arcamanik"
"25","32","73","Cibiru"
"26","32","73","Ujungberung"
"27","32","73","Gedebage"
"28","32","73","Panyileukan"
"29","32","73","Cinambo"
"30","32","73","Mandalajati"
"01","32","74","Kejaksan"
"02","32","74","Lemahwungkuk"
"03","32","74","Harjamukti"
"04","32","74","Pekalipan"
"05","32","74","Kesambi"
"01","32","75","Bekasi Timur"
"02","32","75","Bekasi Barat"
"03","32","75","Bekasi Utara"
"04","32","75","Bekasi Selatan"
"05","32","75","Rawalumbu"
"06","32","75","Medansatria"
"07","32","75","Bantargebang"
"08","32","75","Pondokgede"
"09","32","75","Jatiasih"
"10","32","75","Jatisampurna"
"11","32","75","Mustikajaya"
"12","32","75","Pondokmelati"
"01","32","76","Pancoran Mas"
"02","32","76","Cimanggis"
"03","32","76","Sawangan"
"04","32","76","Limo"
"05","32","76","Sukmajaya"
"06","32","76","Beji"
"07","32","76","Cipayung"
"08","32","76","Cilodong"
"09","32","76","Cinere"
"10","32","76","Tapos"
"11","32","76","Bojongsari"
"01","32","77","Cimahi Selatan"
"02","32","77","Cimahi Tengah"
"03","32","77","Cimahi Utara"
"01","32","78","Cihideung"
"02","32","78","Cipedes"
"03","32","78","Tawang"
"04","32","78","Indihiang"
"05","32","78","Kawalu"
"06","32","78","Cibeureum"
"07","32","78","Tamansari"
"08","32","78","Mangkubumi"
"09","32","78","Bungursari"
"10","32","78","Purbaratu"
"01","32","79","Banjar"
"02","32","79","Pataruman"
"03","32","79","Purwaharja"
"04","32","79","Langensari"
"01","33","01","Kedungreja"
"02","33","01","Kesugihan"
"03","33","01","Adipala"
"04","33","01","Binangun"
"05","33","01","Nusawungu"
"06","33","01","Kroya"
"07","33","01","Maos"
"08","33","01","Jeruklegi"
"09","33","01","Kawunganten"
"10","33","01","Gandrungmangu"
"11","33","01","Sidareja"
"12","33","01","Karangpucung"
"13","33","01","Cimanggu"
"14","33","01","Majenang"
"15","33","01","Wanareja"
"16","33","01","Dayeuhluhur"
"17","33","01","Sampang"
